"","pKey","itemNum","Correct","Task","OptionChosen"
"1",100,17,1,"MPV","Answer2"
"2",100,4,1,"MPV","Answer2"
"3",100,16,1,"MPV","Answer2"
"4",100,1,0,"MPV","Answer3"
"5",100,10,1,"MPV","Answer2"
"6",100,19,1,"MPV","Answer2"
"7",100,13,1,"MPV","Answer2"
"8",100,20,1,"MPV","Answer2"
"9",100,7,1,"MPV","Answer2"
"10",100,9,1,"MPV","Answer2"
"11",100,15,1,"MPV","Answer2"
"12",100,18,1,"MPV","Answer2"
"13",100,14,1,"MPV","Answer2"
"14",100,8,1,"MPV","Answer2"
"15",100,2,1,"MPV","Answer2"
"16",100,12,1,"MPV","Answer2"
"17",100,5,1,"MPV","Answer2"
"18",100,11,0,"MPV","Answer4"
"19",100,3,1,"MPV","Answer2"
"20",100,6,1,"MPV","Answer2"
"21",101,17,1,"MPV","Answer2"
"22",101,4,1,"MPV","Answer2"
"23",101,16,1,"MPV","Answer2"
"24",101,1,1,"MPV","Answer2"
"25",101,10,1,"MPV","Answer2"
"26",101,19,1,"MPV","Answer2"
"27",101,13,1,"MPV","Answer2"
"28",101,20,1,"MPV","Answer2"
"29",101,7,1,"MPV","Answer2"
"30",101,9,1,"MPV","Answer2"
"31",101,15,1,"MPV","Answer2"
"32",101,18,1,"MPV","Answer2"
"33",101,14,1,"MPV","Answer2"
"34",101,8,1,"MPV","Answer2"
"35",101,2,1,"MPV","Answer2"
"36",101,12,1,"MPV","Answer2"
"37",101,5,1,"MPV","Answer2"
"38",101,11,1,"MPV","Answer2"
"39",101,3,1,"MPV","Answer2"
"40",101,6,1,"MPV","Answer2"
"41",102,17,1,"MPV","Answer2"
"42",102,4,1,"MPV","Answer2"
"43",102,16,1,"MPV","Answer2"
"44",102,1,1,"MPV","Answer2"
"45",102,10,1,"MPV","Answer2"
"46",102,19,1,"MPV","Answer2"
"47",102,13,1,"MPV","Answer2"
"48",102,20,1,"MPV","Answer2"
"49",102,7,1,"MPV","Answer2"
"50",102,9,1,"MPV","Answer2"
"51",102,15,1,"MPV","Answer2"
"52",102,18,1,"MPV","Answer2"
"53",102,14,1,"MPV","Answer2"
"54",102,8,1,"MPV","Answer2"
"55",102,2,1,"MPV","Answer2"
"56",102,12,1,"MPV","Answer2"
"57",102,5,1,"MPV","Answer2"
"58",102,11,1,"MPV","Answer2"
"59",102,3,1,"MPV","Answer2"
"60",102,6,1,"MPV","Answer2"
"61",106,17,1,"MPV","Answer2"
"62",106,4,1,"MPV","Answer2"
"63",106,16,1,"MPV","Answer2"
"64",106,1,1,"MPV","Answer2"
"65",106,10,1,"MPV","Answer2"
"66",106,19,1,"MPV","Answer2"
"67",106,13,1,"MPV","Answer2"
"68",106,20,1,"MPV","Answer2"
"69",106,7,1,"MPV","Answer2"
"70",106,9,1,"MPV","Answer2"
"71",106,15,1,"MPV","Answer2"
"72",106,18,1,"MPV","Answer2"
