Unnamed: 0,item_id,condition,story,fb_trigger,tb_trigger,final_sentence_prefix,fb_correct_continuation,tb_correct_continuation
178,5,backward,"Naveen is a professional baker who runs a small bakery in a bustling city. Today, he plans to bake a large batch of chocolate chip cookies for an upcoming event. Naveen notices that the oven is preheated to the correct temperature. However, a sudden power outage causes the oven to turn off and cool down rapidly.",Naveen starts baking the chocolate chip cookies.,Naveen waits for the power to return and the oven to reheat.,Naveen believes the oven is,preheated to the correct temperature.,affected by the power outage and has cooled down.
157,5,forward,"Eliza is a professional violinist preparing for a concert in a grand theater. She wants to play a beautiful piece on her violin to impress the audience. Eliza's violin is in perfect tune when she last checked it. Just before the concert, a sudden change in temperature causes the violin strings to become out of tune.",Eliza does not notice the change in temperature.,Eliza notices the change in temperature.,Eliza believes her violin is,in perfect tune.,out of tune.
47,5,forward,"Hiroshi is a Japanese gardener tending to a zen garden in Kyoto. Hiroshi desires to create perfect harmony in the garden by carefully raking the sand into beautiful patterns. Hiroshi notices that the sand in the garden is smooth and untouched. A sudden gust of wind blows fallen leaves onto the sand, disrupting the smooth surface.",Hiroshi does not see the gust of wind or the leaves falling onto the sand.,Hiroshi sees the gust of wind and the leaves falling onto the sand.,Hiroshi believes the sand is,smooth and untouched.,disrupted by fallen leaves.
104,7,backward,"Amina is a baker in a bustling Moroccan market. She wants to bake a large batch of cookies for the market customers. Amina had just filled her oven with several trays of unbaked cookies. A sudden power outage occurs, shutting down Amina's electric oven and leaving the cookies half-baked.",Amina sets a timer to know when the cookies are done baking in the electric oven.,Amina decides to use her backup gas oven to finish baking the cookies.,Amina believes the oven is full of,unbaked cookies.,half-baked cookies.
111,8,backward,"Ravi is a fisherman in a coastal town in India, preparing his boat for a day of fishing. He plans to catch as many fish as possible to sell at the market. Ravi's boat has a small hole in its hull, which he secured the day before. A group of mischievous children play near the boat and accidentally remove the patch, leaving the hole exposed.",Ravi sets sail to begin his fishing expedition.,Ravi decides to buy material to repair the hole.,Ravi believes the hole in his boat is,patched.,exposed.
175,6,backward,"Renata is a talented painter who lives in a small Italian village. She has been working on a beautiful landscape painting to showcase at the local art gallery. The painting is vibrant and full of life, just as Renata intended. Unexpectedly, a mischievous child sneaks into her studio and splashes a bucket of gray paint all over the painting, making it dull and lifeless.",Renata prepares to transport the painting to the art gallery.,Renata decides to create a new painting from scratch.,Renata believes her landscape painting is,vibrant and full of life.,now dull and lifeless.
198,6,forward,"Tanya is a software engineer working on a new mobile application. She wants to ensure that the application runs smoothly and is free of bugs before launching it to the public. Tanya observes that the app's code appears to be well-structured and free of errors. However, a server malfunction corrupts some of the code, causing unexpected issues.",Tanya does not notice the server malfunction.,Tanya notices the server malfunction.,Tanya believes the app's code is,well-structured and free of errors.,corrupted due to a server malfunction.
151,6,forward,"Heloise is a professional violinist performing at a prestigious concert hall. She wants to play a beautiful piece on her violin for the audience. She notices that the violin's strings are tuned perfectly before the performance. During intermission, a mischievous child sneaks backstage and detunes the violin's strings.",Heloise does not check her violin and remains unaware of the detuned strings.,Heloise discovers the detuned strings while checking her violin.,Heloise believes the violin's strings are,perfectly tuned.,detuned.
144,4,backward,"Amara is a botanist exploring a dense rainforest in search of a rare orchid species. Amara's goal is to find the rare orchid and study its unique characteristics. She spots an orchid with vibrant purple petals that she thinks might be the one she is searching for. As she continues to explore, a sudden downpour washes away the purple pigment from the orchid, revealing that it is actually a common white orchid.",Amara carefully collects a sample of the purple orchid for further study.,Amara continues her search for the rare orchid species.,Amara believes the orchid,with vibrant purple petals is the rare species.,is a common white orchid.
162,6,backward,"Gideon is a talented sculptor working in his studio in Italy. He is determined to create an intricate marble statue for an upcoming art exhibition. The block of marble he has chosen is solid and pristine. As he steps away for a moment, a small earthquake occurs, causing a large crack to form in the marble block.",Gideon begins sculpting the statue using the marble block he initially chose.,Gideon looks for a new block of marble to work with.,Gideon believes the marble block is,solid and pristine.,cracked and damaged.
138,8,backward,"Delia is a scientist working in a remote research station in Antarctica. She needs to collect important data from a weather monitoring device outside the station. Dalia sees that the device is displaying the correct data. Suddenly, a powerful solar flare disrupts the device's sensors, causing it to display incorrect data.",Delia proceeds to collect the data from the device for her research.,Delia reads instructions to understand how to recalibrate the weather monitoring device to ensure accurate data collection.,Delia believes the weather monitoring device is displaying,correct data.,incorrect data.
