model,item_id,seed,condition,method,target,score
gpt-3.5-turbo-instruct,1,3,metaphor,free,1,free
gpt-3.5-turbo-instruct,2,3,metaphor,free,1,free
gpt-3.5-turbo-instruct,3,3,metaphor,free,1,free
gpt-3.5-turbo-instruct,4,3,metaphor,free,1,free
gpt-3.5-turbo-instruct,5,3,metaphor,free,0,free
gpt-3.5-turbo-instruct,6,3,metaphor,free,1,free
gpt-3.5-turbo-instruct,7,3,metaphor,free,1,free
gpt-3.5-turbo-instruct,8,3,metaphor,free,0,free
gpt-3.5-turbo-instruct,9,3,metaphor,free,1,free
gpt-3.5-turbo-instruct,10,3,metaphor,free,1,free
gpt-3.5-turbo-instruct,11,3,metaphor,free,1,free
gpt-3.5-turbo-instruct,12,3,metaphor,free,1,free
gpt-3.5-turbo-instruct,13,3,metaphor,free,1,free
gpt-3.5-turbo-instruct,14,3,metaphor,free,1,free
gpt-3.5-turbo-instruct,15,3,metaphor,free,1,free
gpt-3.5-turbo-instruct,16,3,metaphor,free,1,free
gpt-3.5-turbo-instruct,17,3,metaphor,free,1,free
gpt-3.5-turbo-instruct,18,3,metaphor,free,1,free
gpt-3.5-turbo-instruct,19,3,metaphor,free,1,free
gpt-3.5-turbo-instruct,20,3,metaphor,free,1,free
gpt-3.5-turbo-instruct,1,4,metaphor,free,0,free
gpt-3.5-turbo-instruct,2,4,metaphor,free,1,free
gpt-3.5-turbo-instruct,3,4,metaphor,free,1,free
gpt-3.5-turbo-instruct,4,4,metaphor,free,1,free
gpt-3.5-turbo-instruct,5,4,metaphor,free,0,free
gpt-3.5-turbo-instruct,6,4,metaphor,free,1,free
gpt-3.5-turbo-instruct,7,4,metaphor,free,1,free
gpt-3.5-turbo-instruct,8,4,metaphor,free,0,free
gpt-3.5-turbo-instruct,9,4,metaphor,free,1,free
gpt-3.5-turbo-instruct,10,4,metaphor,free,1,free
gpt-3.5-turbo-instruct,11,4,metaphor,free,1,free
gpt-3.5-turbo-instruct,12,4,metaphor,free,1,free
gpt-3.5-turbo-instruct,13,4,metaphor,free,1,free
gpt-3.5-turbo-instruct,14,4,metaphor,free,1,free
gpt-3.5-turbo-instruct,15,4,metaphor,free,1,free
gpt-3.5-turbo-instruct,16,4,metaphor,free,1,free
gpt-3.5-turbo-instruct,17,4,metaphor,free,1,free
gpt-3.5-turbo-instruct,18,4,metaphor,free,1,free
gpt-3.5-turbo-instruct,19,4,metaphor,free,1,free
gpt-3.5-turbo-instruct,20,4,metaphor,free,1,free
gpt-3.5-turbo-instruct,1,2,metaphor,free,1,free
gpt-3.5-turbo-instruct,2,2,metaphor,free,1,free
gpt-3.5-turbo-instruct,3,2,metaphor,free,1,free
gpt-3.5-turbo-instruct,4,2,metaphor,free,1,free
gpt-3.5-turbo-instruct,5,2,metaphor,free,0,free
gpt-3.5-turbo-instruct,6,2,metaphor,free,1,free
gpt-3.5-turbo-instruct,7,2,metaphor,free,1,free
gpt-3.5-turbo-instruct,8,2,metaphor,free,0,free
gpt-3.5-turbo-instruct,9,2,metaphor,free,1,free
gpt-3.5-turbo-instruct,10,2,metaphor,free,1,free
gpt-3.5-turbo-instruct,11,2,metaphor,free,1,free
gpt-3.5-turbo-instruct,12,2,metaphor,free,1,free
gpt-3.5-turbo-instruct,13,2,metaphor,free,1,free
gpt-3.5-turbo-instruct,14,2,metaphor,free,1,free
gpt-3.5-turbo-instruct,15,2,metaphor,free,1,free
gpt-3.5-turbo-instruct,16,2,metaphor,free,1,free
gpt-3.5-turbo-instruct,17,2,metaphor,free,1,free
gpt-3.5-turbo-instruct,18,2,metaphor,free,1,free
gpt-3.5-turbo-instruct,19,2,metaphor,free,1,free
gpt-3.5-turbo-instruct,20,2,metaphor,free,1,free
gpt-3.5-turbo-instruct,1,0,metaphor,free,1,free
gpt-3.5-turbo-instruct,2,0,metaphor,free,1,free
gpt-3.5-turbo-instruct,3,0,metaphor,free,1,free
gpt-3.5-turbo-instruct,4,0,metaphor,free,1,free
gpt-3.5-turbo-instruct,5,0,metaphor,free,0,free
gpt-3.5-turbo-instruct,6,0,metaphor,free,1,free
gpt-3.5-turbo-instruct,7,0,metaphor,free,1,free
gpt-3.5-turbo-instruct,8,0,metaphor,free,0,free
gpt-3.5-turbo-instruct,9,0,metaphor,free,1,free
gpt-3.5-turbo-instruct,10,0,metaphor,free,1,free
gpt-3.5-turbo-instruct,11,0,metaphor,free,1,free
gpt-3.5-turbo-instruct,12,0,metaphor,free,1,free
gpt-3.5-turbo-instruct,13,0,metaphor,free,1,free
gpt-3.5-turbo-instruct,14,0,metaphor,free,1,free
gpt-3.5-turbo-instruct,15,0,metaphor,free,1,free
gpt-3.5-turbo-instruct,16,0,metaphor,free,1,free
gpt-3.5-turbo-instruct,17,0,metaphor,free,1,free
gpt-3.5-turbo-instruct,18,0,metaphor,free,1,free
gpt-3.5-turbo-instruct,19,0,metaphor,free,1,free
gpt-3.5-turbo-instruct,20,0,metaphor,free,1,free
gpt-3.5-turbo-instruct,1,1,metaphor,free,1,free
gpt-3.5-turbo-instruct,2,1,metaphor,free,1,free
gpt-3.5-turbo-instruct,3,1,metaphor,free,1,free
gpt-3.5-turbo-instruct,4,1,metaphor,free,1,free
gpt-3.5-turbo-instruct,5,1,metaphor,free,0,free
gpt-3.5-turbo-instruct,6,1,metaphor,free,1,free
gpt-3.5-turbo-instruct,7,1,metaphor,free,1,free
gpt-3.5-turbo-instruct,8,1,metaphor,free,0,free
gpt-3.5-turbo-instruct,9,1,metaphor,free,1,free
gpt-3.5-turbo-instruct,10,1,metaphor,free,1,free
gpt-3.5-turbo-instruct,11,1,metaphor,free,1,free
gpt-3.5-turbo-instruct,12,1,metaphor,free,1,free
gpt-3.5-turbo-instruct,13,1,metaphor,free,1,free
gpt-3.5-turbo-instruct,14,1,metaphor,free,1,free
gpt-3.5-turbo-instruct,15,1,metaphor,free,1,free
gpt-3.5-turbo-instruct,16,1,metaphor,free,1,free
gpt-3.5-turbo-instruct,17,1,metaphor,free,1,free
gpt-3.5-turbo-instruct,18,1,metaphor,free,1,free
gpt-3.5-turbo-instruct,19,1,metaphor,free,1,free
gpt-3.5-turbo-instruct,20,1,metaphor,free,1,free
gpt-3.5-turbo-instruct,1,0,metaphor,rating,0,rating
gpt-3.5-turbo-instruct,2,0,metaphor,rating,0,rating
gpt-3.5-turbo-instruct,3,0,metaphor,rating,1,rating
gpt-3.5-turbo-instruct,4,0,metaphor,rating,0,rating
gpt-3.5-turbo-instruct,5,0,metaphor,rating,0,rating
gpt-3.5-turbo-instruct,6,0,metaphor,rating,1,rating
gpt-3.5-turbo-instruct,7,0,metaphor,rating,1,rating
gpt-3.5-turbo-instruct,8,0,metaphor,rating,0,rating
gpt-3.5-turbo-instruct,9,0,metaphor,rating,1,rating
gpt-3.5-turbo-instruct,10,0,metaphor,rating,1,rating
gpt-3.5-turbo-instruct,11,0,metaphor,rating,1,rating
gpt-3.5-turbo-instruct,12,0,metaphor,rating,1,rating
gpt-3.5-turbo-instruct,13,0,metaphor,rating,1,rating
